experiment_id,dataset_name,seed,data_fraction,n_samples,n_features,model_family,params,train_time_s,roc_auc,emissions_kg,params_dict,lr_C,lr_max_iter,rf_n_estimators,rf_max_depth,mlp_hidden_total,mlp_hidden_layers,mlp_max_iter,complexity_score,baseline_auc,delta_auc,EAUG
1,titanic,438878,0.8868783359291059,633,5,log_reg,"{'C': 12.468786659075638, 'max_iter': 593, 'solver': 'lbfgs', 'multi_class': 'auto'}",0.0400700569152832,0.7682051282051282,9.304568756894112e-07,"{'C': 12.468786659075638, 'max_iter': 593, 'solver': 'lbfgs', 'multi_class': 'auto'}",12.468786659075638,593.0,,,,,,5.0,0.7561269658718485,0.01207816233327974,12980.894277696176
2,titanic,94177,0.9804978813094049,700,5,log_reg,"{'C': 6.158459876169436, 'max_iter': 321, 'solver': 'lbfgs', 'multi_class': 'auto'}",0.0121581554412841,0.7636863242443458,2.2611451017883394e-07,"{'C': 6.158459876169436, 'max_iter': 321, 'solver': 'lbfgs', 'multi_class': 'auto'}",6.158459876169436,321.0,,,,,,5.0,0.7561269658718485,0.007559358372497327,33431.54920274082
3,titanic,786064,0.3024909061404367,215,5,log_reg,"{'C': 11.080485964481502, 'max_iter': 631, 'solver': 'lbfgs', 'multi_class': 'auto'}",0.0030014514923095,0.753393665158371,1.0179969569235012e-07,"{'C': 11.080485964481502, 'max_iter': 631, 'solver': 'lbfgs', 'multi_class': 'auto'}",11.080485964481502,631.0,,,,,,5.0,0.7561269658718485,0.0,0.0
4,titanic,370798,0.9414119910788814,672,5,log_reg,"{'C': 0.6332041485861786, 'max_iter': 500, 'solver': 'lbfgs', 'multi_class': 'auto'}",0.0145211219787597,0.7063636363636363,3.332797405406639e-07,"{'C': 0.6332041485861786, 'max_iter': 500, 'solver': 'lbfgs', 'multi_class': 'auto'}",0.6332041485861786,500.0,,,,,,5.0,0.7561269658718485,0.0,0.0
5,titanic,822761,0.554731359061865,396,5,log_reg,"{'C': 3.7623611419432557, 'max_iter': 441, 'solver': 'lbfgs', 'multi_class': 'auto'}",0.017714500427246,0.7633784655061251,2.0932012314357197e-07,"{'C': 3.7623611419432557, 'max_iter': 441, 'solver': 'lbfgs', 'multi_class': 'auto'}",3.7623611419432557,441.0,,,,,,5.0,0.7561269658718485,0.007251499634276626,34643.108007837574
6,titanic,554584,0.2510538048833403,179,5,log_reg,"{'C': 0.08108768226750883, 'max_iter': 255, 'solver': 'lbfgs', 'multi_class': 'auto'}",0.0176584720611572,0.7396825396825397,2.949114210235376e-07,"{'C': 0.08108768226750883, 'max_iter': 255, 'solver': 'lbfgs', 'multi_class': 'auto'}",0.08108768226750883,255.0,,,,,,5.0,0.7561269658718485,0.0,0.0
7,titanic,631664,0.8064701920682991,575,5,log_reg,"{'C': 20.442061379532987, 'max_iter': 366, 'solver': 'lbfgs', 'multi_class': 'auto'}",0.0037653446197509,0.6727158948685859,1.2629158315651258e-07,"{'C': 20.442061379532987, 'max_iter': 366, 'solver': 'lbfgs', 'multi_class': 'auto'}",20.442061379532987,366.0,,,,,,5.0,0.7561269658718485,0.0,0.0
8,titanic,970698,0.9144968970577584,652,5,log_reg,"{'C': 0.2618809287856801, 'max_iter': 240, 'solver': 'lbfgs', 'multi_class': 'auto'}",0.0044474601745605,0.8034591194968552,1.4254153430855468e-07,"{'C': 0.2618809287856801, 'max_iter': 240, 'solver': 'lbfgs', 'multi_class': 'auto'}",0.2618809287856801,240.0,,,,,,5.0,0.7561269658718485,0.047332153625006756,332058.6792797424
9,titanic,194638,0.5733768029816273,409,5,log_reg,"{'C': 12.98775203222132, 'max_iter': 656, 'solver': 'lbfgs', 'multi_class': 'auto'}",0.0,0.7854050711193569,1.0472812996514649e-07,"{'C': 12.98775203222132, 'max_iter': 656, 'solver': 'lbfgs', 'multi_class': 'auto'}",12.98775203222132,656.0,,,,,,5.0,0.7561269658718485,0.0292781052475084,279562.95273535536
10,titanic,154289,0.7464391625939637,532,5,log_reg,"{'C': 0.014969767772748319, 'max_iter': 528, 'solver': 'lbfgs', 'multi_class': 'auto'}",0.0,0.7207485465116279,1.0857285381772693e-07,"{'C': 0.014969767772748319, 'max_iter': 528, 'solver': 'lbfgs', 'multi_class': 'auto'}",0.014969767772748319,528.0,,,,,,5.0,0.7561269658718485,0.0,0.0
11,titanic,967509,0.4606602865105216,328,5,log_reg,"{'C': 9.529028451003093, 'max_iter': 420, 'solver': 'lbfgs', 'multi_class': 'auto'}",0.0,0.8304843304843305,1.3349307965352786e-07,"{'C': 9.529028451003093, 'max_iter': 420, 'solver': 'lbfgs', 'multi_class': 'auto'}",9.529028451003093,420.0,,,,,,5.0,0.7561269658718485,0.07435736461248199,557012.8789108128
12,titanic,469555,0.3515770872674286,251,5,log_reg,"{'C': 0.3032765451962616, 'max_iter': 245, 'solver': 'lbfgs', 'multi_class': 'auto'}",0.0047943592071533,0.7515873015873016,1.526256836766645e-07,"{'C': 0.3032765451962616, 'max_iter': 245, 'solver': 'lbfgs', 'multi_class': 'auto'}",0.3032765451962616,245.0,,,,,,5.0,0.7561269658718485,0.0,0.0
13,titanic,475704,0.3815274792407073,272,5,log_reg,"{'C': 0.03308918125895611, 'max_iter': 612, 'solver': 'lbfgs', 'multi_class': 'auto'}",0.003016710281372,0.6818181818181819,1.1522186374126645e-07,"{'C': 0.03308918125895611, 'max_iter': 612, 'solver': 'lbfgs', 'multi_class': 'auto'}",0.03308918125895611,612.0,,,,,,5.0,0.7561269658718485,0.0,0.0
14,titanic,437151,0.86614255684627,618,5,log_reg,"{'C': 4.778108184926549, 'max_iter': 765, 'solver': 'lbfgs', 'multi_class': 'auto'}",0.0,0.7478378378378379,1.1504112088499629e-07,"{'C': 4.778108184926549, 'max_iter': 765, 'solver': 'lbfgs', 'multi_class': 'auto'}",4.778108184926549,765.0,,,,,,5.0,0.7561269658718485,0.0,0.0
15,titanic,312366,0.8658078411161609,618,5,log_reg,"{'C': 6.3249982255572945, 'max_iter': 258, 'solver': 'lbfgs', 'multi_class': 'auto'}",0.0057377815246582,0.8,2.189292303715567e-07,"{'C': 6.3249982255572945, 'max_iter': 258, 'solver': 'lbfgs', 'multi_class': 'auto'}",6.3249982255572945,258.0,,,,,,5.0,0.7561269658718485,0.04387303412815158,200398.24766063565
16,titanic,387478,0.4306624831441953,307,5,log_reg,"{'C': 16.559889327158462, 'max_iter': 705, 'solver': 'lbfgs', 'multi_class': 'auto'}",0.0,0.7232432432432432,1.0817077020317977e-07,"{'C': 16.559889327158462, 'max_iter': 705, 'solver': 'lbfgs', 'multi_class': 'auto'}",16.559889327158462,705.0,,,,,,5.0,0.7561269658718485,0.0,0.0
17,titanic,139752,0.3599265619800866,256,5,log_reg,"{'C': 5.370095583865395, 'max_iter': 582, 'solver': 'lbfgs', 'multi_class': 'auto'}",0.0066328048706054,0.7488479262672811,1.792494500704153e-07,"{'C': 5.370095583865395, 'max_iter': 582, 'solver': 'lbfgs', 'multi_class': 'auto'}",5.370095583865395,582.0,,,,,,5.0,0.7561269658718485,0.0,0.0
