experiment_id,dataset_name,seed,data_fraction,n_samples,n_features,model_family,params,train_time_s,roc_auc,emissions_kg
1,titanic,438878,0.8868783359291059,633,5,log_reg,"{'C': 12.468786659075638, 'max_iter': 593, 'solver': 'lbfgs', 'multi_class': 'auto'}",0.0400700569152832,0.7682051282051282,9.304568756894113e-07
2,titanic,94177,0.9804978813094047,700,5,log_reg,"{'C': 6.158459876169436, 'max_iter': 321, 'solver': 'lbfgs', 'multi_class': 'auto'}",0.01215815544128418,0.7636863242443458,2.2611451017883391e-07
3,titanic,786064,0.3024909061404367,215,5,log_reg,"{'C': 11.080485964481502, 'max_iter': 631, 'solver': 'lbfgs', 'multi_class': 'auto'}",0.0030014514923095703,0.753393665158371,1.0179969569235012e-07
4,titanic,370798,0.9414119910788814,672,5,log_reg,"{'C': 0.6332041485861786, 'max_iter': 500, 'solver': 'lbfgs', 'multi_class': 'auto'}",0.014521121978759766,0.7063636363636363,3.3327974054066387e-07
5,titanic,822761,0.554731359061865,396,5,log_reg,"{'C': 3.7623611419432557, 'max_iter': 441, 'solver': 'lbfgs', 'multi_class': 'auto'}",0.017714500427246094,0.7633784655061251,2.0932012314357195e-07
6,titanic,554584,0.2510538048833403,179,5,log_reg,"{'C': 0.08108768226750883, 'max_iter': 255, 'solver': 'lbfgs', 'multi_class': 'auto'}",0.017658472061157227,0.7396825396825397,2.949114210235376e-07
7,titanic,631664,0.8064701920682991,575,5,log_reg,"{'C': 20.442061379532987, 'max_iter': 366, 'solver': 'lbfgs', 'multi_class': 'auto'}",0.0037653446197509766,0.6727158948685859,1.2629158315651255e-07
8,titanic,970698,0.9144968970577583,652,5,log_reg,"{'C': 0.2618809287856801, 'max_iter': 240, 'solver': 'lbfgs', 'multi_class': 'auto'}",0.004447460174560547,0.8034591194968552,1.4254153430855466e-07
9,titanic,194638,0.5733768029816273,409,5,log_reg,"{'C': 12.98775203222132, 'max_iter': 656, 'solver': 'lbfgs', 'multi_class': 'auto'}",0.0,0.7854050711193569,1.0472812996514649e-07
10,titanic,154289,0.7464391625939637,532,5,log_reg,"{'C': 0.014969767772748319, 'max_iter': 528, 'solver': 'lbfgs', 'multi_class': 'auto'}",0.0,0.7207485465116279,1.0857285381772692e-07
11,titanic,967509,0.4606602865105216,328,5,log_reg,"{'C': 9.529028451003093, 'max_iter': 420, 'solver': 'lbfgs', 'multi_class': 'auto'}",0.0,0.8304843304843305,1.3349307965352783e-07
12,titanic,469555,0.3515770872674286,251,5,log_reg,"{'C': 0.3032765451962616, 'max_iter': 245, 'solver': 'lbfgs', 'multi_class': 'auto'}",0.00479435920715332,0.7515873015873016,1.526256836766645e-07
13,titanic,475704,0.3815274792407073,272,5,log_reg,"{'C': 0.03308918125895611, 'max_iter': 612, 'solver': 'lbfgs', 'multi_class': 'auto'}",0.0030167102813720703,0.6818181818181819,1.1522186374126643e-07
14,titanic,437151,0.86614255684627,618,5,log_reg,"{'C': 4.778108184926549, 'max_iter': 765, 'solver': 'lbfgs', 'multi_class': 'auto'}",0.0,0.7478378378378379,1.1504112088499629e-07
15,titanic,312366,0.8658078411161609,618,5,log_reg,"{'C': 6.3249982255572945, 'max_iter': 258, 'solver': 'lbfgs', 'multi_class': 'auto'}",0.005737781524658203,0.8,2.1892923037155667e-07
